Distribución de los casos de Derrame de Petróleo

               R            C       K              $                 Tierra
 1             1            1       1                                0
 2             1            1       1                                0
 3             1            1       10 000                           0
 4             1            1       10 000 000                       0
 5             1            1       10 000                           Al azar
 6             1            1       10 000 000                       Al azar 
 7             2000      2000       1              Centro            0
 8             2000      2000       10 000 000     Centro            0
 9             2000      2000       10 000 000     izquierda         0
10             2000      2000       10 000 000     arriba            0
11             2000      2000       10 000 000     abajo             0
12             2000      2000       10 000 000     derecha           0
13             2000      2000       1              Centro            Al azar
14             2000      2000       10 000 000     Centro            Al azar
15             2000      2000       10 000 000     izquierda         Al azar
16             2000      2000       10 000 000     arriba            Al azar
17             2000      2000       10 000 000     abajo             Al azar
18             2000      2000       10 000 000     derecha           Al azar
19        >=10 <=50   >=10 <=50     1              Al azar           1
20        >=10 <=50   >=10 <=50     1              Al azar           2
21        >=10 <=50   >=10 <=50     1              Al azar           <=5
22        >=10 <=50   >=10 <=50     1              Al azar           <=10
23        >=10 <=50   >=10 <=50     1              Al azar           <=50
24        >=10 <=50   >=10 <=50     1              Al azar           <=100
25        >=10 <=50   >=10 <=50     1              Al azar           <=500
26        >=10 <=50   >=10 <=50     1              Al azar           <=2500
27        >=10 <=50   >=10 <=50     1              Al azar           =2500
28        >=10 <=50   >=10 <=50     <=5            Al azar           <=200
29        >=10 <=50   >=10 <=50     <=10           Al azar           <=200
30        >=10 <=50   >=10 <=50     <=30           Al azar           <=200
31        >=10 <=50   >=10 <=50     <=50           Al azar           <=500
32        >=10 <=50   >=10 <=50     <=100          Al azar           <=500
33        >=10 <=50   >=10 <=50     <=500          Al azar           <=500
34        >=10 <=50   >=10 <=50     <=1 000        Al azar           <=500
35        >=10 <=50   >=10 <=50     <=10 000       Al azar           <=500
36        >=10 <=50   >=10 <=50     <=100 000      Al azar           <=500
37        >=10 <=50   >=10 <=50     <=1 000 000    Al azar           <=500
38        >=10 <=50   >=10 <=50     <=1 000        Al azar           <=1500
39        >=10 <=50   >=10 <=50     <=10 000       Al azar           <=1500
40        >=10 <=50   >=10 <=50     <=100 000      Al azar           <=1500
41        >=10 <=50   >=10 <=50     <=1 000 000    Al azar           <=1500
42        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
43        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
44        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
45        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
46        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
47        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
48        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
49        >=10 <=50   >=10 <=50     <=10 000 000   Al azar           <=500
